mk,position,track,streams,url,id,popularity,followers,genres,type
ar,132,Loco Enamorado,17182,https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB,2bxxlINUlcMQQb39K7IopR,67,219177,"latin arena pop,spanish pop",artist
uy,100,Loco Enamorado,1687,https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB,2bxxlINUlcMQQb39K7IopR,67,219177,"latin arena pop,spanish pop",artist
bo,94,Loco Enamorado,1079,https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB,2bxxlINUlcMQQb39K7IopR,67,219177,"latin arena pop,spanish pop",artist
py,119,Loco Enamorado,1218,https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB,2bxxlINUlcMQQb39K7IopR,67,219177,"latin arena pop,spanish pop",artist
cl,81,Loco Enamorado,19824,https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB,2bxxlINUlcMQQb39K7IopR,67,219177,"latin arena pop,spanish pop",artist
gt,119,Loco Enamorado,1375,https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB,2bxxlINUlcMQQb39K7IopR,67,219177,"latin arena pop,spanish pop",artist
mx,177,Loco Enamorado,39798,https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB,2bxxlINUlcMQQb39K7IopR,67,219177,"latin arena pop,spanish pop",artist
ec,98,Loco Enamorado,2840,https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB,2bxxlINUlcMQQb39K7IopR,67,219177,"latin arena pop,spanish pop",artist
co,196,Loco Enamorado,4017,https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB,2bxxlINUlcMQQb39K7IopR,67,219177,"latin arena pop,spanish pop",artist
pa,119,Loco Enamorado,1276,https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB,2bxxlINUlcMQQb39K7IopR,67,219177,"latin arena pop,spanish pop",artist
cz,148,Highway to Hell,1304,https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s,711MCceyCBcFnzjGY4Q7Un,83,3406855,"album rock,classic rock,hard rock,heavy christmas,rock",artist
it,142,Ulalala,18965,https://open.spotify.com/track/2NTxalkIR7Yz1nl5iIFWAz,0lI3rF4hi4op6UxqlLHPzv,58,37068,"denver indie,italian hip hop",artist
id,196,Haruskah Kumati,4546,https://open.spotify.com/track/3RzgETsKqBs5McfQTdNp2Q,2owBL6a90fnWufVtP70K8f,55,11485,"dangdut,indonesian indie,indonesian pop,world worship",artist
id,108,Manusia Bodoh,6708,https://open.spotify.com/track/408TyH9YoTkH9J0Da9Ue8C,2owBL6a90fnWufVtP70K8f,55,11485,"dangdut,indonesian indie,indonesian pop,world worship",artist
tr,181,Rüyalarda Buru?mu?um,5385,https://open.spotify.com/track/4cQSOn9oP0MiM7BgiRngFk,1g4J8P1JWwanNyyXckRX5W,56,49569,"turkish jazz,turkish rock",artist
nz,165,Send My Love (To Your New Lover),4457,https://open.spotify.com/track/4BHzQ9C00ceJxfG16AlNWb,4dpARuHxo51G3z768sgnrY,86,6572511,"dance pop,pop",artist
be,181,Hello,3139,https://open.spotify.com/track/4sPmO7WMQUAf45kwMOtONw,4dpARuHxo51G3z768sgnrY,86,6572511,"dance pop,pop",artist
gb,180,Hello,42032,https://open.spotify.com/track/4sPmO7WMQUAf45kwMOtONw,4dpARuHxo51G3z768sgnrY,86,6572511,"dance pop,pop",artist
au,170,Water Under the Bridge,16551,https://open.spotify.com/track/4vb4mFvYsr2h6enhjJsq9Y,4dpARuHxo51G3z768sgnrY,86,6572511,"dance pop,pop",artist
cr,200,Hello,1916,https://open.spotify.com/track/4sPmO7WMQUAf45kwMOtONw,4dpARuHxo51G3z768sgnrY,86,6572511,"dance pop,pop",artist
my,134,Make You Feel My Love,3647,https://open.spotify.com/track/7rPLZ8Krm6CZIbraFUlnWZ,4dpARuHxo51G3z768sgnrY,86,6572511,"dance pop,pop",artist
id,176,When We Were Young,4904,https://open.spotify.com/track/7IWkJwX9C0J7tHurTD7ViL,4dpARuHxo51G3z768sgnrY,86,6572511,"dance pop,pop",artist
se,177,When We Were Young,20002,https://open.spotify.com/track/7IWkJwX9C0J7tHurTD7ViL,4dpARuHxo51G3z768sgnrY,86,6572511,"dance pop,pop",artist
nz,139,Hello,4871,https://open.spotify.com/track/4sPmO7WMQUAf45kwMOtONw,4dpARuHxo51G3z768sgnrY,86,6572511,"dance pop,pop",artist
gb,177,Water Under the Bridge,42388,https://open.spotify.com/track/4vb4mFvYsr2h6enhjJsq9Y,4dpARuHxo51G3z768sgnrY,86,6572511,"dance pop,pop",artist
id,171,All I Ask,5058,https://open.spotify.com/track/1wMALZpuqAy7amQsFBWQ8m,4dpARuHxo51G3z768sgnrY,86,6572511,"dance pop,pop",artist
ie,190,Water Under the Bridge,3246,https://open.spotify.com/track/4vb4mFvYsr2h6enhjJsq9Y,4dpARuHxo51G3z768sgnrY,86,6572511,"dance pop,pop",artist
no,181,When We Were Young,11980,https://open.spotify.com/track/7IWkJwX9C0J7tHurTD7ViL,4dpARuHxo51G3z768sgnrY,86,6572511,"dance pop,pop",artist
nz,142,Water Under the Bridge,4840,https://open.spotify.com/track/4vb4mFvYsr2h6enhjJsq9Y,4dpARuHxo51G3z768sgnrY,86,6572511,"dance pop,pop",artist
sg,143,Make You Feel My Love,4263,https://open.spotify.com/track/7rPLZ8Krm6CZIbraFUlnWZ,4dpARuHxo51G3z768sgnrY,86,6572511,"dance pop,pop",artist
gb,190,When We Were Young,40400,https://open.spotify.com/track/7IWkJwX9C0J7tHurTD7ViL,4dpARuHxo51G3z768sgnrY,86,6572511,"dance pop,pop",artist
at,96,Ist da jemand,3068,https://open.spotify.com/track/1QzmdyU1N47jAj0ao5IvlW,3rZBkgoRHG8M9jQL0QPNMi,69,62950,"deep german pop rock,german pop",artist
ch,139,Ist da jemand,3438,https://open.spotify.com/track/1QzmdyU1N47jAj0ao5IvlW,3rZBkgoRHG8M9jQL0QPNMi,69,62950,"deep german pop rock,german pop",artist
de,157,Bis hier und noch weiter,37870,https://open.spotify.com/track/5y2qTBdWUFNgSPOygSWOMe,3rZBkgoRHG8M9jQL0QPNMi,69,62950,"deep german pop rock,german pop",artist
de,93,Ist da jemand,56523,https://open.spotify.com/track/1QzmdyU1N47jAj0ao5IvlW,3rZBkgoRHG8M9jQL0QPNMi,69,62950,"deep german pop rock,german pop",artist
id,105,Muara,6842,https://open.spotify.com/track/4lCtZZktwgQqzCoJxK3ZxR,5puPe9ODwSfnmqy5cx90TC,50,2561,"indonesian pop,world worship",artist
nl,166,TRRR - Bonus Track,21834,https://open.spotify.com/track/5xcekrEAJ5CVZPpjb3N36l,5erZiBCKPxe9FaTiXHO00m,63,17124,"deep dutch hip hop,dutch hip hop",artist
nl,91,Another Life,41567,https://open.spotify.com/track/6tinFGP1QJuRbyeCekZcLZ,4D75GcNG95ebPtNvoNVXhz,77,1033380,"big room,dance pop,deep big room,dutch house,edm,electro house,pop,progressive electro house,tropical house",artist
hk,165,3AM,1956,https://open.spotify.com/track/11G6oP44rmzIPtK70vWCuk,0ZVv0p5Umc0rz7lZF7LUNj,0,8,,artist
hk,65,????,3609,https://open.spotify.com/track/1EiEkNCO1maB0Rl3XQ5f6A,0ZVv0p5Umc0rz7lZF7LUNj,0,8,,artist
uy,132,Ni Tu Amiga Ni Tu Amante,1314,https://open.spotify.com/track/1xH5BjOt3hfrWsln1KnHnY,2qmA5QmaGZH3ky4qq25d1m,44,7349,cumbia pop,artist
uy,73,Tu Boca,2102,https://open.spotify.com/track/0OMURLwnKB6jkAUcxoS3Fc,2qmA5QmaGZH3ky4qq25d1m,44,7349,cumbia pop,artist
tr,106,Dü?man m?s?n A??k m??,7935,https://open.spotify.com/track/2Vqc75AMoWCI1OhJmZpx8d,27XMnTLvCO7t3qGlQyTMkF,55,17137,"turkish folk,turkish jazz,turkish pop,turkish rock",artist
be,38,Weak,13291,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv,6s22t5Y3prQHyaHWUN1R1C,78,174882,pop,artist
