mk,position,track,streams,url,id,popularity,followers,genres,type
sg,15,Wild Thoughts,23954,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
us,182,Shining,170831,https://open.spotify.com/track/7Fa5UNizycSms5jP3SQD3F,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
ni,19,I'm the One,1095,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
pl,75,Don't Quit,8525,https://open.spotify.com/track/6LOCAhFzZiavHcLJucLuDy,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
no,6,Wild Thoughts,120978,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
nl,7,Wild Thoughts,186257,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
pt,1,Wild Thoughts,21494,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
pt,3,I'm the One,20100,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
pa,30,Wild Thoughts,3890,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
bo,80,Wild Thoughts,1301,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
gr,2,Wild Thoughts,5777,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
no,88,Don't Quit,21239,https://open.spotify.com/track/6LOCAhFzZiavHcLJucLuDy,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
nz,127,Don't Quit,5326,https://open.spotify.com/track/6LOCAhFzZiavHcLJucLuDy,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
br,30,I'm the One,169443,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
us,4,I'm the One,1349924,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
dk,5,I'm the One,76236,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
cr,13,I'm the One,9939,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
se,4,Wild Thoughts,243666,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
sg,199,Don't Quit,3473,https://open.spotify.com/track/6LOCAhFzZiavHcLJucLuDy,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
my,15,Wild Thoughts,18439,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
fi,35,I'm the One,31592,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
gb,5,I'm the One,432119,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
ca,198,Shining,17893,https://open.spotify.com/track/7Fa5UNizycSms5jP3SQD3F,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
ph,26,Wild Thoughts,80434,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
cr,33,Wild Thoughts,6896,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
pa,22,I'm the One,4282,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
no,7,I'm the One,104929,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
us,83,Don't Quit,284604,https://open.spotify.com/track/6LOCAhFzZiavHcLJucLuDy,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
mt,5,I'm the One,2154,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
us,3,Wild Thoughts,1358385,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
es,40,Wild Thoughts,84873,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
fr,4,Wild Thoughts,125589,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
fr,8,I'm the One,101245,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
mx,65,Wild Thoughts,79621,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
ch,62,Don't Quit,6340,https://open.spotify.com/track/6LOCAhFzZiavHcLJucLuDy,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
hn,61,Wild Thoughts,1796,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
ee,10,Wild Thoughts,1885,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
se,56,Don't Quit,46422,https://open.spotify.com/track/6LOCAhFzZiavHcLJucLuDy,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
sg,5,I'm the One,31388,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
br,50,Wild Thoughts,125208,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
se,6,I'm the One,199216,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
dk,3,Wild Thoughts,98519,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
gr,48,Don't Quit,1578,https://open.spotify.com/track/6LOCAhFzZiavHcLJucLuDy,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
ca,2,Wild Thoughts,201169,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
pl,8,I'm the One,29913,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
us,112,To the Max,230994,https://open.spotify.com/track/2of5xn0GU0TdFneR1saRLH,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
be,4,I'm the One,27193,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
tr,34,I'm the One,18390,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
dk,197,Don't Quit,7558,https://open.spotify.com/track/6LOCAhFzZiavHcLJucLuDy,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
cl,53,I'm the One,33657,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
uy,95,Wild Thoughts,1759,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
sv,69,Wild Thoughts,1373,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
cl,110,Wild Thoughts,15679,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
be,89,Don't Quit,5311,https://open.spotify.com/track/6LOCAhFzZiavHcLJucLuDy,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
lv,10,I'm the One,2117,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
pe,55,I'm the One,14997,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
it,45,Wild Thoughts,59366,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
at,9,Wild Thoughts,16727,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
cy,1,Wild Thoughts,1292,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
ie,5,I'm the One,36472,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
bo,39,I'm the One,2389,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
fi,10,Wild Thoughts,56930,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
hn,31,I'm the One,2781,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
au,110,Don't Quit,22701,https://open.spotify.com/track/6LOCAhFzZiavHcLJucLuDy,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
id,21,Wild Thoughts,28375,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
jp,177,Don't Quit,2094,https://open.spotify.com/track/6LOCAhFzZiavHcLJucLuDy,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
gr,4,I'm the One,4417,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
co,31,I'm the One,20327,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
sk,65,Don't Quit,1069,https://open.spotify.com/track/6LOCAhFzZiavHcLJucLuDy,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
ca,3,I'm the One,177773,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
ec,96,Wild Thoughts,2850,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
ch,5,I'm the One,23065,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
de,12,I'm the One,279782,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
pt,161,Don't Quit,2106,https://open.spotify.com/track/6LOCAhFzZiavHcLJucLuDy,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
lu,2,Wild Thoughts,2212,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
nl,10,I'm the One,167513,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
au,3,I'm the One,169838,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
hu,11,I'm the One,6651,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
hk,6,I'm the One,10558,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
it,27,I'm the One,81542,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
is,4,I'm the One,5318,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
jp,7,Wild Thoughts,11842,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
hu,58,Don't Quit,2145,https://open.spotify.com/track/6LOCAhFzZiavHcLJucLuDy,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
py,105,Wild Thoughts,1363,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
mt,3,Wild Thoughts,2381,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
at,8,I'm the One,17404,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
ie,170,Don't Quit,3495,https://open.spotify.com/track/6LOCAhFzZiavHcLJucLuDy,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
de,3,Wild Thoughts,371194,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
pe,129,Wild Thoughts,7624,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
es,32,I'm the One,104051,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
do,24,I'm the One,4862,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
pl,12,Wild Thoughts,28588,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
lv,8,Wild Thoughts,2179,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
sk,9,I'm the One,2882,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
is,3,Wild Thoughts,6336,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
ec,50,I'm the One,5289,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
ch,1,Wild Thoughts,30698,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
hk,11,Wild Thoughts,8705,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
ie,2,Wild Thoughts,43090,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
mx,37,I'm the One,136900,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
gt,88,Wild Thoughts,1684,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
nz,3,I'm the One,41569,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
ar,105,Wild Thoughts,21064,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
sv,23,I'm the One,2637,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
cz,58,Don't Quit,2555,https://open.spotify.com/track/6LOCAhFzZiavHcLJucLuDy,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
id,158,Don't Quit,5266,https://open.spotify.com/track/6LOCAhFzZiavHcLJucLuDy,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
lt,6,Wild Thoughts,2760,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
gb,157,Don't Quit,44705,https://open.spotify.com/track/6LOCAhFzZiavHcLJucLuDy,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
tw,14,Wild Thoughts,13476,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
gb,2,Wild Thoughts,666817,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
lt,9,I'm the One,2473,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
ph,2,I'm the One,198309,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
cz,8,I'm the One,8331,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
id,3,I'm the One,59653,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
tr,4,Wild Thoughts,38431,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
jp,2,I'm the One,15494,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
hk,176,Don't Quit,1867,https://open.spotify.com/track/6LOCAhFzZiavHcLJucLuDy,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
be,5,Wild Thoughts,26991,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
py,56,I'm the One,2323,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
ee,9,I'm the One,1886,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
au,2,Wild Thoughts,199183,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
bg,5,I'm the One,1515,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
bg,1,Wild Thoughts,2292,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
co,67,Wild Thoughts,8670,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
uy,46,I'm the One,3226,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
gt,32,I'm the One,3397,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
cz,16,Wild Thoughts,6288,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
tw,10,I'm the One,15226,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
my,4,I'm the One,29076,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
do,29,Wild Thoughts,4360,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
hu,9,Wild Thoughts,6769,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,94,1182136,"pop rap,rap,trap music",artist
es,152,"Simple (feat. Cosculluela, Nengo Flow & Baby Rasta y Gringo)",21822,https://open.spotify.com/track/15kZDQoTtpkya2kG8ZPJoi,64aJYyrXljOodnUG6jvhRD,80,57851,"latin,latin hip hop,reggaeton,reggaeton flow,tropical",artist
uy,103,"Simple (feat. Cosculluela, Nengo Flow & Baby Rasta y Gringo)",1663,https://open.spotify.com/track/15kZDQoTtpkya2kG8ZPJoi,64aJYyrXljOodnUG6jvhRD,80,57851,"latin,latin hip hop,reggaeton,reggaeton flow,tropical",artist
pe,149,"Simple (feat. Cosculluela, Nengo Flow & Baby Rasta y Gringo)",6775,https://open.spotify.com/track/15kZDQoTtpkya2kG8ZPJoi,64aJYyrXljOodnUG6jvhRD,80,57851,"latin,latin hip hop,reggaeton,reggaeton flow,tropical",artist
gt,177,"Simple (feat. Cosculluela, Nengo Flow & Baby Rasta y Gringo)",1030,https://open.spotify.com/track/15kZDQoTtpkya2kG8ZPJoi,64aJYyrXljOodnUG6jvhRD,80,57851,"latin,latin hip hop,reggaeton,reggaeton flow,tropical",artist
do,123,"Simple (feat. Cosculluela, Nengo Flow & Baby Rasta y Gringo)",1243,https://open.spotify.com/track/15kZDQoTtpkya2kG8ZPJoi,64aJYyrXljOodnUG6jvhRD,80,57851,"latin,latin hip hop,reggaeton,reggaeton flow,tropical",artist
cl,117,"Simple (feat. Cosculluela, Nengo Flow & Baby Rasta y Gringo)",15045,https://open.spotify.com/track/15kZDQoTtpkya2kG8ZPJoi,64aJYyrXljOodnUG6jvhRD,80,57851,"latin,latin hip hop,reggaeton,reggaeton flow,tropical",artist
py,147,"Simple (feat. Cosculluela, Nengo Flow & Baby Rasta y Gringo)",1032,https://open.spotify.com/track/15kZDQoTtpkya2kG8ZPJoi,64aJYyrXljOodnUG6jvhRD,80,57851,"latin,latin hip hop,reggaeton,reggaeton flow,tropical",artist
ar,122,"Simple (feat. Cosculluela, Nengo Flow & Baby Rasta y Gringo)",18782,https://open.spotify.com/track/15kZDQoTtpkya2kG8ZPJoi,64aJYyrXljOodnUG6jvhRD,80,57851,"latin,latin hip hop,reggaeton,reggaeton flow,tropical",artist
co,175,"Simple (feat. Cosculluela, Nengo Flow & Baby Rasta y Gringo)",4364,https://open.spotify.com/track/15kZDQoTtpkya2kG8ZPJoi,64aJYyrXljOodnUG6jvhRD,80,57851,"latin,latin hip hop,reggaeton,reggaeton flow,tropical",artist
ec,198,Middle,1732,https://open.spotify.com/track/4OZEu0Vwq0RB2LAq14v99n,540vIaP2JwjQb9dm3aArA4,84,1302610,"dance pop,edm,electronic trap,pop,tropical house",artist
ch,114,Let Me Love You,3766,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,540vIaP2JwjQb9dm3aArA4,84,1302610,"dance pop,edm,electronic trap,pop,tropical house",artist
cz,112,Let Me Love You,1553,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,540vIaP2JwjQb9dm3aArA4,84,1302610,"dance pop,edm,electronic trap,pop,tropical house",artist
bo,46,Let Me Love You,2135,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,540vIaP2JwjQb9dm3aArA4,84,1302610,"dance pop,edm,electronic trap,pop,tropical house",artist
sg,83,Let Me Love You,6341,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,540vIaP2JwjQb9dm3aArA4,84,1302610,"dance pop,edm,electronic trap,pop,tropical house",artist
sv,85,Middle,1193,https://open.spotify.com/track/4OZEu0Vwq0RB2LAq14v99n,540vIaP2JwjQb9dm3aArA4,84,1302610,"dance pop,edm,electronic trap,pop,tropical house",artist
