,artist,mk,position,track,streams,url,id,popularity,followers,genres,,,,,"insert into pais_musica(pais_id, musica_id, posicao, streams) values"
21,AAA,jp,82,No Way Back,3481,https://open.spotify.com/track/0KMw8ZsfzGtWn7WEwgvMmo,1AyWsgtaIgXbzjJlTx2ZDp,58,37944,"anime,j-idol,j-pop,japanese r&b",,,,,"((select id from pais where sigla like 'jp'), (select id from musica where nome like 'No Way Back'), 82, 3481),"
22,AAA,jp,130,MAGIC,2748,https://open.spotify.com/track/0K4Wg6Pwx0cOuJkN8xvuto,1AyWsgtaIgXbzjJlTx2ZDp,58,37944,"anime,j-idol,j-pop,japanese r&b",,,,,"((select id from pais where sigla like 'jp'), (select id from musica where nome like 'MAGIC'), 130, 2748),"
23,AAA,jp,72,恋音と雨空,3845,https://open.spotify.com/track/46gSY0U7ZZCmd7EuJuo15N,1AyWsgtaIgXbzjJlTx2ZDp,58,37944,"anime,j-idol,j-pop,japanese r&b",,,,,"((select id from pais where sigla like 'jp'), (select id from musica where nome like '恋音と雨空'), 72, 3845),"
24,Abel Pintos,ar,83,Oncemil,23741,https://open.spotify.com/track/3y5ahYM9zwyOCt3mieZ0PZ,6HTUcOExehqydqa7C3usAa,72,271844,"argentine rock,cumbia pop,folklore argentino,rock en espanol",,,,,"((select id from pais where sigla like 'ar'), (select id from musica where nome like 'Oncemil'), 83, 23741),"
25,Abel Pintos,ar,169,Como Te Extraño,15077,https://open.spotify.com/track/2PlyHAHOb0kJrbfI1MFCYC,6HTUcOExehqydqa7C3usAa,72,271844,"argentine rock,cumbia pop,folklore argentino,rock en espanol",,,,,"((select id from pais where sigla like 'ar'), (select id from musica where nome like 'Como Te Extraño'), 169, 15077),"
26,Abel Pintos,ar,192,Tanto Amor,13653,https://open.spotify.com/track/12dlQ3DhTydNecGP6atzIu,6HTUcOExehqydqa7C3usAa,72,271844,"argentine rock,cumbia pop,folklore argentino,rock en espanol",,,,,"((select id from pais where sigla like 'ar'), (select id from musica where nome like 'Tanto Amor'), 192, 13653),"
27,Abel Pintos,ar,95,Sin Principio Ni Final,22340,https://open.spotify.com/track/6ihwy1c6tsMC6AWANIrhH2,6HTUcOExehqydqa7C3usAa,72,271844,"argentine rock,cumbia pop,folklore argentino,rock en espanol",,,,,"((select id from pais where sigla like 'ar'), (select id from musica where nome like 'Sin Principio Ni Final'), 95, 22340),"
28,A Boogie Wit da Hoodie,ca,55,Drowning (feat. Kodak Black),47610,https://open.spotify.com/track/6Q2FftbUG530lCtBI74bMH,31W5EY0aAly4Qieq6OFu6I,83,434586,"dwn trap,rap,southern hip hop,trap music",,,,,"((select id from pais where sigla like 'ca'), (select id from musica where nome like 'Drowning (feat. Kodak Black)'), 55, 47610),"
29,A Boogie Wit da Hoodie,us,33,Drowning (feat. Kodak Black),575164,https://open.spotify.com/track/6Q2FftbUG530lCtBI74bMH,31W5EY0aAly4Qieq6OFu6I,83,434586,"dwn trap,rap,southern hip hop,trap music",,,,,"((select id from pais where sigla like 'us'), (select id from musica where nome like 'Drowning (feat. Kodak Black)'), 33, 575164),"
30,A Boogie Wit da Hoodie,us,186,My Shit,168007,https://open.spotify.com/track/5uQOauh47VFt3B2kV9kRXw,31W5EY0aAly4Qieq6OFu6I,83,434586,"dwn trap,rap,southern hip hop,trap music",,,,,"((select id from pais where sigla like 'us'), (select id from musica where nome like 'My Shit'), 186, 168007),"
